Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
317.007    0.100000    100         1.11
1200.703   0.200000    200         1.25
1280.639   0.300000    300         1.43
1294.527   0.400000    400         1.67
1313.727   0.500000    500         2.00
1386.111   0.550000    550         2.22
1482.623   0.600000    600         2.50
1597.055   0.650000    650         2.86
1672.255   0.700000    700         3.33
1791.231   0.750000    750         4.00
1865.919   0.775000    775         4.44
1930.431   0.800000    800         5.00
1997.311   0.825000    825         5.71
2023.231   0.850000    850         6.67
2066.239   0.875000    875         8.00
2118.015   0.887500    888         8.89
2154.111   0.900000    900         10.00
2155.391   0.912500    913         11.43
2169.727   0.925000    925         13.33
2209.919   0.937500    938         16.00
2210.815   0.943750    944         17.78
2212.223   0.950000    950         20.00
2214.143   0.956250    956         22.86
2230.271   0.962500    963         26.67
2232.831   0.968750    969         32.00
2233.087   0.971875    972         35.56
2233.343   0.975000    975         40.00
2233.727   0.978125    978         45.71
2234.111   0.981250    981         53.33
2234.495   0.984375    984         64.00
2235.135   0.985938    986         71.11
2235.391   0.987500    988         80.00
2235.391   0.989062    989         91.42
2235.903   0.990625    991         106.67
2236.159   0.992188    992         128.01
2236.543   0.992969    993         142.23
2238.335   0.993750    994         160.00
2239.487   0.994531    995         182.85
2239.487   0.995313    995         213.36
2239.615   0.996094    996         256.02
2239.615   0.996484    996         284.41
2241.151   0.996875    997         320.00
2241.151   0.997266    997         365.76
2241.407   0.997656    998         426.62
2241.407   0.998047    998         512.03
2241.407   0.998242    998         568.83
2241.407   0.998437    998         639.80
2242.303   0.998633    999         731.53
2242.303   0.998828    999         853.24
2242.303   0.999023    999         1023.54
2242.303   0.999121    999         1137.66
2242.303   0.999219    999         1280.41
2242.303   0.999316    999         1461.99
2242.303   0.999414    999         1706.48
2243.199   0.999512    1000        2049.18
2243.199   0.999561    1000        2277.90
2243.199   0.999609    1000        2557.54
2243.199   0.999658    1000        2923.98
2243.199   0.999707    1000        3412.97
2243.199   0.999756    1000        4098.36
2243.199   0.999780    1000        4545.45
2243.199   0.999805    1000        5128.21
2243.199   0.999829    1000        5847.95
2243.199   0.999854    1000        6849.32
2243.199   0.999878    1000        8196.72
2243.199   0.999890    1000        9090.91
2243.199   0.999902    1000        10204.08
2243.199   0.999915    1000        11764.71
2243.199   0.999927    1000        13698.63
2243.199   0.999939    1000        16393.44
2243.199   0.999945    1000        18181.82
2243.199   0.999951    1000        20408.16
2243.199   0.999957    1000        23255.81
2243.199   0.999963    1000        27027.03
2243.199   0.999969    1000        32258.06
2243.199   0.999973    1000        37037.04
2243.199   0.999976    1000        41666.67
2243.199   0.999979    1000        47619.05
2243.199   0.999982    1000        55555.56
2243.199   0.999985    1000        66666.67
2243.199   0.999986    1000        71428.57
2243.199   0.999988    1000        83333.33
2243.199   0.999989    1000        90909.09
2243.199   0.999991    1000        111111.11
2243.199   0.999992    1000        125000.00
2243.199   0.999993    1000        142857.14
2243.199   0.999994    1000        166666.67
2243.199   0.999995    1000        200000.00
2243.199   0.999996    1000        250000.00
2243.199   0.999997    1000        333333.33
2243.199   0.999998    1000        500000.00
2243.199   0.999999    1000        1000000.00
2243.199   1.000000    1000        10000000.00
